nebenkosten,heizungstyp,telekom_tv_angebot,telekom_hybrid_uploadspeed,neu_bau,balkon,bilderanzahl,preisentwicklung,telekom_uploadspeed,gesamt_miete,baujahr,scout_id,parkplätze,fuer_heizung,mit_kueche,bundesland,keller,baujahr_range,grundmiete,hausnummer,wohnflaeche,bezirk,zustand,ausstattungsqualitaet,haustiere_erlaubt,straße,straße_plain,aufzug,grundmiete_range,wohnungstyp,postleitzahl,zimmer,waermeschutz,etage,anzahl_stockwerke,zimmer_range,garten,wohnflaeche_range,region2,region3,beschreibung,ausstattung,heizkosten,energieeffizienzklasse,letzte_sanierung,stromgrundpreis,strom_kwh_preis,daten_datum
320.0,central_heating,NA,NA,FALSE,TRUE,10,4.99,NA,1140.0,NA,115671495,1,NA,TRUE,Berlin,FALSE,NA,820.0,63,77.0,Berlin,na,na,negotiable,Metropolitan Park,Metropolitan_Park,TRUE,6,ground_floor,13591,3,NA,0,3,3,FALSE,3,Berlin,Staaken_Spandau,"Diese attraktive EG-Wohnung kann ab sofort bezogen werden. Bei diesem Angebot handelt es sich um eine großzügige und komfortable 3-Zimmer Wohnung im Erdgeschoss eines komplett sanierten und modernisierten Gebäudes eines ehemaligen und unter Denkmalschutz stehenden Gebäudes. Die ca. 77m2 gro-ße Wohnung ist ausgesprochen großzügig, hell und gut geschnitten und verfügt über eine geschmackvolle luxuriöse Ausstattung. Der Fußboden in der gesamten Wohnung ist mit Eichen-Parkett versehen. Über einen Eingangsbereich mit Garderobennische betritt man die Wohnung. Von hier aus gelangt man in das elegante Wohnzimmer (ca 28m2) sowie auf die Ter-rasse (ca 13m2). Der Küchenbereich der Wohnung ist mit einer modernen und voll-ausgestatteten Einbauküche versehen. Die monatlichen Kosten hierfür betragen 50,00€. Das schöne Schlafzimmer (ca 12m2) ist funktional und großzügig geschnitten und verfügt zusätzlich über einen Ankleidebereich. Ein weiteres Zimmer (Arbeits- oder Gästezimmer) befindet sich neben dem Wohnzimmer und ist durch eine Schiebetür getrennt. Die Wohnung ist mit einem großen, modernen Badezimmer mit ebenerdiger Dusche ausgestattet. Sowohl Fliessn als auch Objekte und Armaturen sind von hochwertiger Qualität. Der Anschluss für eine Waschmaschine ist im Badezimmer vorhanden. In allen Räumen liegt sowohl Telefon- als auch digitaler Kabelanschluss. Die Kosten für Telefon, Internet und Strom sind nicht in den Nebenkosten enthalten. Die Wohnung ist ab sofort bezugsfertig. Die nachstehenden Konditionen sind freibleibend. Nettokaltmiete: € 820,00 Zzgl. Nebenkosten: € 230,00 Einbauküche: € 50,00 Stellplatz Nr. 34: €. 40,00 Gesamtmiete: € 1.140,00 Kaution:",NA,NA,NA,NA,NA,NA,2020-02-01
79.0,central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,17,7.35,40,955.0,1918,113359456,NA,gas,FALSE,Berlin,FALSE,1,808.0,11,62.63,Berlin,refurbished,na,negotiable,Börnestraße,Börnestraße,FALSE,6,ground_floor,13086,2,100.4,0,3,2,FALSE,3,Berlin,Weißensee_Weißensee,"Suchen Sie eine 2-Zimmerwohnung in Weißensee? Willkommen in der Börnestraße 11! Die Wohnung befindet sich im Vorderhaus im Erdgeschoss eines Altbaus und verfügt über zwei separate Zimmer (WG-geeignet), ein modernes Wannenbad mit Fenster und eine Küche mit Spüle und Herd (auf Wunsch). Es wird ein unbefristeter Mietvertrag mit einer Mindestmietlaufzeit von 15 Monaten angeboten (inkl. Kündigungsfrist). Die Staffelmiete beträgt 3,5 % jährlich, bezieht sich auf die Nettokaltmiete und ist auf 10 Jahre begrenzt.",Zusammengefasst bietet die Wohnung: + Vollständig Saniert! + 2 Zimmer (WG-geeignet) + Bad mit Wanne und Fenster + Küche mit Herd und Spüle + Zentralheizung,68,NA,NA,NA,NA,2019-10-01
150.0,floor_heating,ONE_YEAR_FREE,NA,TRUE,TRUE,15,6.6,40,1300.0,2019,113704695,1,district_heating,TRUE,Berlin,TRUE,9,1150.0,27,46.4,Berlin,first_time_use,luxury,no,Stallschreiberstraße,Stallschreiberstraße,TRUE,7,apartment,10179,2,NA,3,5,2,FALSE,2,Berlin,Mitte_Mitte,"Dieses luxuriöse Neubauquartier direkt am Luisenpark mit großzügiger Gartenanlage zur Gemeinschaftsnutzung und Concierge-Service wurde 2019 erbaut und befindet sich in absolut zentraler Lage, unweit des berühmten Alexanderplatzes, des Potsdamer Platzes und fußläufig zum Spittel- und Gendarmenmarkt. Die helle und freundliche 2-Zimmer-Wohnung befindet sich im 3. OG des Objekts. Der durchdachte Grundriss gewährleistet eine optimale Raumnutzung. Alle Räume der Wohnung gehen vom Flur ab, hierzu zählt insbesondere das großzügige Duschbad. Hochwertige Keramiken sowie die maßgefertigte Einbauküche mit Geräten von Siemens/Bosch sorgen für eine sehr luxuriöse Atmosphäre. Das offene Wohnzimmer verfügt über einen Zugang zum Balkon. In allen Wohnräumen wurde Eichenparkett verlegt. Elektrische Sonnenrollos und Temperaturregler für die Fußbodenheizung in jedem Raum sorgen für Komfort. Eine Videosprechanlage sorgt für Sicherheit. Ausführliche Objektbeschreibung unter: www.instone.de/projekte/luisenpark-berlin","• sehr ruhig gelegen, trotz zentraler Lage, da alle Zimmer zum Park gehen • großes Wohnzimmer mit offener Küche und Balkon • Marken-Einbauküche mit Cerankochfeld, Dunstabzugshaube und Spülmaschine • helles, großes Duschbad mit hochwertigen Badfliesen und qualitativer Ausstattung (einschließlich Handtuch-Heizkörper) • ca. 2,80m Deckenhöhe und bodentiefe Fenster • Keller • Garagenstellplatz • großzügige Gartenanlage zur Mitbenutzung und direkt am Park • Eichenparkett • Fußbodenheizung in jedem Zimmer individuell regulierbar • Personenaufzug • Videosprechanlage • Energieeffiziente Bauausführung • Concierge-Service",NA,NA,NA,NA,NA,2019-10-01
228.78,floor_heating,NA,NA,FALSE,TRUE,2,8.63,NA,1428.78,2017,107589685,NA,district_heating,TRUE,Berlin,TRUE,9,1200.0,5a,67.0,Berlin,mint_condition,sophisticated,negotiable,Hallesche Straße,Hallesche_Straße,TRUE,7,apartment,10963,2,NA,6,7,2,FALSE,3,Berlin,Kreuzberg_Kreuzberg,"Bei dieser ansprechenden Immobilie handelt es sich um einen Zweitbezug. Die Wohnung im sechsten OG zeichnet sich durch eine gehobene Innenausstattung aus und kann zum 01.09.2019 bezogen werden. Zu dem Objekt zählen neben zwei attraktiven Zimmern nicht nur ein Badezimmer, sondern auch ein separates drittes halbes Zimmer und ein separates Gaeste WC. Ein aktueller Energieausweis liegt vor. Das Apartment ist bequem über einen Fahrstuhl zu erreichen. Beachten Sie auch, dass sich auf dem Balkon wunderbar vom Alltag erholen lässt. Zur Verfügung stehen Ihnen außerdem eine Einbauküche sowie ein Kellerraum.",Balkon und 10m Terasse,NA,NA,NA,NA,NA,2019-10-01
147.08,district_heating,ONE_YEAR_FREE,NA,TRUE,TRUE,9,7.56,40,1559.05,2019,114773727,NA,district_heating,TRUE,Berlin,TRUE,9,1338.43,19,73.54,Berlin,first_time_use,sophisticated,negotiable,Heidestraße,Heidestraße,TRUE,7,ground_floor,10557,2,66.2,0,6,2,FALSE,3,Berlin,Tiergarten_Tiergarten,"In the """"Wasserstadt - Mitte"""" you can expect 498 new apartments with an urban offer of local amenities, services, restaurants and complementary retail. Quietly located on a branch of the Spree, you can find the balance to the hustle and bustle of city life, which leaves no wishes unfulfilled: High-quality oak parquet floor with heated floor, high-quality and fully equipped branded kitchen, tiled and plastered walls, modern tiled bathrooms with branded fittings, intercom, broadband cable connection in many rooms and many more amenities. Almost all apartments have a spacious outdoor area in the form of a terrace, balcony, loggia or roof terrace. All shops for daily needs are within walking distance or even integrated in the district, as well as the Berlin Central Station with the perfect connection for short and long distance travel. Please visit us on www.wasserstadt-mitte.de","Your spacious ground floor apartment is equipped with oak parquet in all living and sleeping areas. If you like bright apartments, you will love the light-flooded rooms! Especially convenient is the washing machine connection in your apartment. On request, an additional underground parking space can be rented for 125,00 € per month.",73.54,B,2019,NA,NA,2020-02-01
232.0,combined_heat_and_power_plant,ONE_YEAR_FREE,NA,FALSE,TRUE,21,4.99,40,1280.0,2014,113764604,1,gas,TRUE,Berlin,TRUE,8,1048.0,5,83.14,Berlin,mint_condition,sophisticated,NA,Waldkiefernring,Waldkiefernring,FALSE,7,apartment,12527,3,64,1,2,3,FALSE,4,Berlin,Grünau_Köpenick,"Direkt am Waldrand - Berlin Grünau - wunderbare Umgebung - Schick und in besonderem Ambiente in kleiner, neuer, 3-seitig umfriedeter Wohnanlage mit Privatstraßen","Keine Wünsche offen....& an alles gedacht..... Top großzügige 3- Zimmer Wohnung im 1. Obergeschoß mit herrlich großem Balkon Wohnfläche ca. 83 m² hochwertige Ausstattung überzeugt und macht Lust auf`s schöne Wohnen: - honigfarbenes Echtholzparkett - Fußböden in Küche & Bad & Flur hochwertiges schieferfarbenes Feinsteinzeug - funktionale Raumaufteilung - großer Abstellraum in der Wohnung - kombiniertes Dusch- & Wannenbad - große bodengleiche Dusche mit Echtglas- Abtrennung - hinter der Badtür Stellfläche für WM & Trockner - Einbauküche mit div. technischen Geräten: Geschirrspüler, Kühl-Gefrierkombination, Ceranherd, Dunstabzugshaube - hohe Decken ca. 2,80 m - Keller, Fahrradraum, Kabelfernsehen - eigener PkW-Stellplatz ( zuzüglich Kosten monatlich 76,50 € ) - sehr schön gärtnerisch gestaltetes Grundstück mit Bäumen, Sträuchern & Hecken, Spieplatz im Park",120,NA,NA,NA,NA,2019-10-01
221.11,district_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,8,6.06,40,656.72,1980,113829068,NA,district_heating,FALSE,Berlin,FALSE,3,435.61,42,62.23,Berlin,modernized,na,NA,Bärensteinstr.,Bärensteinstr.,TRUE,3,apartment,12685,3,119,16,NA,3,FALSE,3,Berlin,Marzahn_Marzahn,"Die Punkthochhäuser der Bärensteinstraße wurden bereits saniert. Im Zuge dessen wurden sie mit einem Wärmeverbundsystem versehen und mit isolierverglasten Fenstern ausgestattet. Die Häuser verfügen über einen Aufzug, einen freundlich gestalteten Eingangsbereich und sind ans Fernwärmenetz angeschlossen. Jede Wohnung ist mit einem Breitbandkabelanschluss ausgestattet.",Von der Wohnung aus dem 17. Stock genießen Sie einen herrlichen Blick über die Stadt. Die Wohnung wird Ihnen mit weißen Wänden übergeben. Die brauchen nur noch Ihre Möbel reinstellen. Der Fußbodenbelag ist mit PVC in Laminatoptik versehen. Das Badezimmer wurde modern gefliest und verfügt über einen Handtuchheizkörper. Die Wohnung kann ab sofort angemietet werden.,74.62,NA,NA,NA,NA,2019-10-01
105.0,gas_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,15,8.54,40,0.0,1870,84867476,NA,gas,TRUE,Berlin,TRUE,1,910.0,22,105.92,Berlin,refurbished,sophisticated,negotiable,Grünauer Str.,Grünauer_Str.,FALSE,6,maisonette,12557,4,139,1,2,4,TRUE,5,Berlin,Köpenick_Köpenick,"Das komplette Haus wurde 2003 Denkmal gerecht saniert. Die Maisonette-Wohnung hat einen interessanten Schnitt, hat zwei Zugänge in die Wohnung und liegt in einem Gebäudeteil nur noch mit einer weiteren Wohnung.","Küche: Hochwertige Einbauküche mit Geschirrspüler, Herd mit Ceranfeld, Dunstabzugshaube, Kühl- und Gefrierschrank. Bad: Gefliestes Bad mit Wanne und separater Dusche, Doppelwaschbecken.",140,NA,2003,NA,NA,2020-02-01
162.0,district_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,3,6.3,40,861.0,1984,113297201,NA,district_heating,TRUE,Berlin,TRUE,4,699.0,130,71.2,Berlin,modernized,na,NA,Falkenberger Chaussee,Falkenberger_Chaussee,TRUE,5,apartment,13057,3,81,4,NA,3,FALSE,3,Berlin,Neu_Hohenschönhausen_Hohenschönhausen,"Die Objekte wurden in den 80er Jahren errichtet, und befinden sich in einem guten, sanierten (im Jahr 2000) Pflegezustand mit attraktiv gestalteten Grünflächen und Spielplätzen für die Kleinsten. Die elfgeschossigen Wohngebäude sind selbstverständlich mit Fahrstühlen ausgestattet. Die Wohnungen variieren zwischen 1- und 4-Zimmern, und verfügen sämtlich über einen Balkon bzw. Loggia und einen mietereigenen Keller. Die Grundrisse sind zweckmäßig und zeitgemäß. Zahlreiche PKW-Stellplätze befinden sich direkt vor den Wohngebäuden.",- Balkon - PVC Bodenbelag - Küche mit Fenster - EBK kann übernommen werden - Anschlüsse für Geschirrspüler und Waschmaschine - modern gefliestes Wannenbad - Abstellkammer - Kabelanschluss - Mieterkeller - Aufzug,80,C,NA,NA,NA,2019-10-01
67.15,central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,6,7,40,415.51,1988,112185558,NA,district_heating,FALSE,Berlin,TRUE,4,314.78,94,41.97,Berlin,first_time_use_after_refurbishment,sophisticated,negotiable,Luckenwalder Str.,Luckenwalder_Str.,FALSE,2,apartment,12629,1,62,2,5,1,FALSE,2,Berlin,Hellersdorf_Hellersdorf,"Der Siedlungshof, in dem sich Ihre neue Wohnung befindet, wurde komplett saniert. Das Haus mit insgesamt fünf Etagen befindet sich in einem gepflegten Zustand. Die Haltestelle der TRAM haben Sie fast vor der Haustür. Weitere Informationen und Besichtigungstermine unter Tel. 030-99282340",saniert: * modern gefliestes Bad mit Dusche * Küche mit Fenster * Keller * Kosten für das Kabelfernsehen sind in der Miete enthalten * PVC in Laminatoptik * Wände und Decken Raufaser weiß * Türen mit Zarge * modernisierte Elektrik,33.58,NA,2019,NA,NA,2019-10-01
